customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
1661-SIBEX,0,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),67.46,486.82
1114-RX1EL,0,Yes,Yes,36,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),46.24,1535.88
7006-52SUP,0,No,Yes,1,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),66.28,67.44
3032-M2ZI8,0,Yes,Yes,25,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,31.47,760.68
0669-OHNLL,1,Yes,No,9,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),62.89,580.98
4885-KZ9JD,1,Yes,Yes,32,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Electronic check,74.25,2210.36
4973-L0H5B,0,No,Yes,30,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,53.77,1701.49
6768-C5C54,1,Yes,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),101.29,999.9
0944-TC634,1,Yes,No,37,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),94.34,3431.1
0253-MUOID,0,Yes,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),48.66,1320.85
2629-M5VM0,1,Yes,No,28,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),69.06,2059.54
3280-8RSXS,0,No,No,1,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),70.86,75.13
0185-18MTU,1,No,No,37,No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,67.79,2611.96
7084-QDXCN,0,No,No,16,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,39.41,588.54
1440-MV4SZ,0,No,No,16,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),75.84,1239.08
3500-8SGVJ,1,Yes,Yes,30,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),78.04,2196.89
